date,start_time,end_time,activity_id,activity_name,original_activity_name,activity_type,priority,occurrence_number,frequency_period,duration_minutes,facilitator,facilitator_role,equipment,location,mode,status,details,prep_required,metrics_to_collect,if_skipped_adjustment,notes
2026-06-09,06:00,06:20,ACT002,High-Protein Breakfast #002,High-Protein Breakfast #002,Food consumption,2,1,week,20,Self,Self,,Home,in_person,scheduled,Consume 30-40g protein within 2 hours of waking,Prepare or order the meal according to the assigned nutrition guideline.,"protein_g, calories, satiety_score",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-09,06:30,06:50,ACT012,Hydration Protocol #012,Hydration Protocol #012,Food consumption,12,1,week,20,Self,Self,,Home,in_person,scheduled,Drink 500ml water with electrolytes,Prepare or order the meal according to the assigned nutrition guideline.,"water_ml, electrolyte_serving",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-09,07:00,08:00,ACT031,Strength Training #031,Strength Training #031,Fitness routine / exercise,31,1,week,60,Fitness Trainer 1,Fitness Trainer,"Dumbbells, Resistance Bands",Gym,in_person,scheduled,Full-body resistance session with controlled tempo,"Wear appropriate training clothes, prepare water, and confirm recovery status.","sets, reps, load, RPE",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-09,08:00,08:20,ACT047,Fermented Food Serving #047,Fermented Food Serving #047,Food consumption,47,1,week,20,Self,Self,,Home,in_person,scheduled,"Add yogurt, kimchi, kefir, or sauerkraut",Prepare or order the meal according to the assigned nutrition guideline.,"serving_size, GI_comfort_score",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-09,08:30,08:45,ACT048,Blood Pressure Reading #048,Blood Pressure Reading #048,Medication consumption,48,1,week,15,Self,Self,Blood Pressure Cuff,Home,in_person,scheduled,Measure seated blood pressure after 5 minutes rest,"Confirm dose, timing, and any meal requirement before taking it.","systolic, diastolic, resting_hr",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-09,08:45,09:00,ACT053,Omega-3 Supplement #053,Omega-3 Supplement #053,Medication consumption,53,1,week,15,Self,Self,,Home,in_person,scheduled,Take after meal to improve tolerance,"Confirm dose, timing, and any meal requirement before taking it.","dose_mg, adherence",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-09,09:00,09:30,ACT062,Hydration Protocol #062,Hydration Protocol #062,Food consumption,62,1,week,30,Self,Self,,Home,in_person,scheduled,Drink 500ml water with electrolytes,Prepare or order the meal according to the assigned nutrition guideline.,"water_ml, electrolyte_serving",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-09,09:30,09:40,ACT078,Omega-3 Supplement #078,Omega-3 Supplement #078,Medication consumption,78,1,week,10,Self,Self,,Home,in_person,scheduled,Take after meal to improve tolerance,"Confirm dose, timing, and any meal requirement before taking it.","dose_mg, adherence",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-09,12:00,12:30,ACT032,Mediterranean Lunch #032,Mediterranean Lunch #032,Food consumption,32,1,week,30,Self,Self,,Home,in_person,scheduled,"Vegetables, lean protein, olive oil, and whole grains",Prepare or order the meal according to the assigned nutrition guideline.,"calories, fiber_g, protein_g",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-09,12:30,12:50,ACT057,Mediterranean Lunch #057,Mediterranean Lunch #057,Food consumption,57,1,week,20,Self,Self,,Home,in_person,scheduled,"Vegetables, lean protein, olive oil, and whole grains",Prepare or order the meal according to the assigned nutrition guideline.,"calories, fiber_g, protein_g",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-09,17:00,17:15,ACT011,Mobility Flow #011,Mobility Flow #011,Fitness routine / exercise,11,1,week,15,Fitness Trainer 1,Fitness Trainer,Yoga Mat,Home,in_person,scheduled,"Hip, ankle, thoracic spine, and shoulder mobility","Wear appropriate training clothes, prepare water, and confirm recovery status.","duration, pain_score, range_of_motion",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
